pose_name,Elbow_Avg,Elbow_Min,Elbow_Max,Knee_Avg,Knee_Min,Knee_Max,Hip_Avg,Hip_Min,Hip_Max
Hero Pose,68.11496821,42.75979293,93.47014349,121.1718292,83.88203324,158.4616251,76.07211769,45.13608819,107.0081472
Assisted Side Bend,52.2103047,21.75141366,82.66919573,72.46503009,29.6069279,115.3231323,71.19749149,28.58704588,113.8079371
Finger Up and Down Stretch,51.21792603,26.36991429,76.06593778,79.55890909,37.3929439,121.7248743,77.08800083,30.18508738,123.9909143
Salutation Seal,79.38748945,51.0299832,107.7449957,115.239321,66.79335423,163.6852877,77.61389994,39.8659127,115.3618872
Head to Knee Forward Bend,63.96290709,30.69848982,97.22732437,70.51763671,18.9049465,122.1303269,107.9359576,69.61759255,146.2543227
The Big Toe Pose,58.3932162,25.12908503,91.65734737,48.55870662,17.51920153,79.59821172,76.73372657,37.23509354,116.2323596
Sage Marichi,58.52450559,25.74752391,91.30148727,65.21789615,20.36734363,110.0684487,109.8162738,67.7400576,151.8924901
Half Forward Bend,51.61579895,25.8283329,77.403265,35.5062658,2.482021705,68.53050989,96.46265962,64.85804835,128.0672709
Plow Pose,58.88119258,21.9965972,95.76578795,46.5290554,7.052229681,86.00588113,113.0667593,83.54178821,142.5917303
Bow Pose,44.36942395,10.61644176,78.12240614,68.53897165,32.36457052,104.7133728,95.26636425,61.11134436,129.4213841
Cactus Pose,71.17126485,39.71573418,102.6267955,109.5753872,67.88819015,151.2625843,80.9919201,51.87290039,110.1109398
